evaluations raw_y raw_y_best x0 x1
1 14.0611123178 14.0611123178 -3.500000 1.500000
2 79.8270022123 14.0611123178 -0.500000 2.500000
3 758.0505541031 14.0611123178 -1.500000 -4.500000
4 151.8591918612 14.0611123178 -4.500000 4.500000
5 737.6288257527 14.0611123178 0.500000 -3.500000
6 126.0086654974 14.0611123178 2.500000 0.500000
7 412.2825113504 14.0611123178 1.500000 -0.500000
8 54.2796854865 14.0611123178 -2.500000 3.500000
9 927.4708673607 14.0611123178 4.500000 -2.500000
10 1530.8074672798 14.0611123178 3.500000 -1.500000
11 20.3985442637 14.0611123178 -3.206265 2.075528
12 59.4406293979 14.0611123178 -2.756729 2.815386
13 15.0627981579 14.0611123178 -2.858122 1.553785
14 99.1985759842 14.0611123178 -1.897446 2.842582
15 8.6994537911 8.6994537911 -2.410213 2.114770
16 6.5627007755 6.5627007755 -1.397483 1.995585
17 11.6327256826 6.5627007755 -1.940275 1.497493
18 12.2865671820 6.5627007755 -0.915811 1.450559
19 118.9916109703 6.5627007755 -1.425486 0.882645
20 2.4880540421 2.4880540421 -0.154396 1.692528
21 66.1680780824 2.4880540421 -0.214099 0.951071
22 54.8565646142 2.4880540421 -3.459807 3.568215
23 72.8907259305 2.4880540421 -3.974023 2.621169
24 9.6377718585 2.4880540421 -4.340118 1.697313
25 57.5284768123 2.4880540421 -4.195571 0.901211
26 5.9458015756 2.4880540421 0.703194 1.668119
27 36.8510482344 2.4880540421 0.500244 2.367553
28 11.4115220157 2.4880540421 1.480081 2.047300
29 40.6783837319 2.4880540421 1.587757 1.295309
30 23.8435641956 2.4880540421 2.391530 1.769346
31 48.9955048072 2.4880540421 2.177768 2.677215
32 83.6769836758 2.4880540421 1.268061 3.037606
33 54.5797171094 2.4880540421 -5.000000 1.297051
34 31.1517667414 2.4880540421 -5.000000 2.312855
35 105.5905552589 2.4880540421 -3.049683 0.562064
36 117.9468856231 2.4880540421 3.222301 2.291231
37 220.8173601588 2.4880540421 2.415778 3.819544
38 251.5089533764 2.4880540421 -2.886976 4.470251
39 59.2205003096 2.4880540421 0.152600 3.639661
40 68.8873287896 2.4880540421 -0.855874 3.951894
41 244.1114063824 2.4880540421 -5.000000 0.014279
42 222.8504270565 2.4880540421 -0.056967 4.669530
43 548.1458286983 2.4880540421 5.000000 2.128709
44 90.8050227713 2.4880540421 -4.881322 3.247512
45 113.1314562624 2.4880540421 -2.600959 -0.945787
46 481.8102512167 2.4880540421 -3.481886 -1.890480
47 270.2348420453 2.4880540421 3.018186 1.265163
48 311.0602242654 2.4880540421 -5.000000 -5.000000
49 77.6295826965 2.4880540421 -1.651761 -0.605044
50 26.7971891822 2.4880540421 0.660439 1.006748
51 44.8468164575 2.4880540421 5.000000 5.000000
52 111.3107169753 2.4880540421 4.141872 5.000000
53 4.3345835099 2.4880540421 2.014752 2.066896
54 40.6028164255 2.4880540421 5.000000 4.219986
55 334.5897828264 2.4880540421 -1.406954 -1.522329
56 206.1955616689 2.4880540421 -2.241892 -0.094302
57 9.5604659326 2.4880540421 0.266922 1.411560
58 189.4150587984 2.4880540421 -0.533107 3.320617
59 149.5709581248 2.4880540421 -1.631889 4.065889
60 10.3755951583 2.4880540421 -0.761175 1.913119
61 25.6800352465 2.4880540421 4.178474 3.993304
62 17.3203957522 2.4880540421 3.621209 3.414169
63 104.5997033603 2.4880540421 -0.722395 -0.162432
64 135.3794357123 2.4880540421 3.538499 4.082464
65 47.4465001868 2.4880540421 4.231655 3.426450
66 1935.5071445873 2.4880540421 3.134424 -5.000000
67 164.3400761874 2.4880540421 0.951717 3.953203
68 32.8999355680 2.4880540421 4.578793 4.509687
69 367.3026819999 2.4880540421 -5.000000 5.000000
70 152.0747596563 2.4880540421 -4.178485 3.660319
71 39.2978502543 2.4880540421 3.014566 2.998611
72 156.5824659263 2.4880540421 0.500240 3.071264
73 14.9071493014 2.4880540421 -1.917170 1.986895
74 202.2986241145 2.4880540421 -5.000000 -3.172307
75 68.5567046236 2.4880540421 0.220089 0.188490
76 100.2723736316 2.4880540421 -1.224616 5.000000
77 12.3623861811 2.4880540421 -3.845533 1.952981
78 7.9259495473 2.4880540421 0.192284 1.980451
79 206.3970497646 2.4880540421 -3.698339 -0.106223
80 20.7816456774 2.4880540421 3.661319 2.910522
81 34.5282508931 2.4880540421 -4.481557 2.214652
82 30.4410094039 2.4880540421 -2.432392 1.119296
83 154.3567936164 2.4880540421 -0.020305 -0.840226
84 705.9100543584 2.4880540421 -3.649301 -4.049101
85 396.6566042881 2.4880540421 1.797880 5.000000
86 52.2731414807 2.4880540421 1.966824 1.612529
87 22.3868497947 2.4880540421 1.026690 2.245264
88 16.0583542582 2.4880540421 -2.375746 1.656719
89 5.1363166518 2.4880540421 2.518201 2.277625
90 14.6421132022 2.4880540421 -5.000000 1.821356
91 7.9403911853 2.4880540421 -1.399297 1.591010
92 8.3069092930 2.4880540421 1.165901 1.568879
93 88.7586340086 2.4880540421 1.259661 0.708015
94 154.6272567871 2.4880540421 -5.000000 -1.644409
95 39.5045238467 2.4880540421 -3.348162 2.976682
96 762.8234860037 2.4880540421 5.000000 0.238668
97 117.9972532992 2.4880540421 -3.580352 0.987990
98 69.3358254181 2.4880540421 5.000000 3.592430
99 24.7906382783 2.4880540421 1.596848 2.512460
100 39.9632537993 2.4880540421 4.601775 3.922146
